group_type,group,n,auc,fpr_high,f1_macro,scenario,classifier
Age Band,61-75,107,0.965335037853735,0.2765957446808511,0.7974270978587908,B,XGBoost
Age Band,76-85,45,0.9759632414861173,0.058823529411764705,0.8989412529144212,B,XGBoost
Gender,Female,186,0.5611743045806792,0.5100671140939598,0.3596840301761242,C,Logistic Regression
Gender,Male,192,0.5985824666488729,0.3229166666666667,0.40687043696197006,C,Logistic Regression
Age Band,30-45,127,0.5146833919867243,0.358974358974359,0.2968523783873468,C,Logistic Regression
Age Band,46-60,99,0.4949392427637045,0.421875,0.34417989417989414,C,Logistic Regression
Age Band,61-75,107,0.5544856020752721,0.574468085106383,0.3621980417381361,C,Logistic Regression
Age Band,76-85,45,0.4844463978450906,0.6470588235294118,0.343038323683485,C,Logistic Regression
Gender,Female,186,0.47464232834469805,0.5033557046979866,0.33937625422923673,C,Decision Tree
Gender,Male,192,0.545099873420186,0.34375,0.4083166556974834,C,Decision Tree
Age Band,30-45,127,0.41821912983659787,0.358974358974359,0.25591397849462366,C,Decision Tree
Age Band,46-60,99,0.4548324977676055,0.453125,0.33262108262108264,C,Decision Tree
Age Band,61-75,107,0.5725143942246113,0.5957446808510638,0.41908831908831906,C,Decision Tree
Age Band,76-85,45,0.4678400973335613,0.5294117647058824,0.3932098765432099,C,Decision Tree
Gender,Female,186,0.4920824435470689,0.46308724832214765,0.3210624312986518,C,Random Forest
Gender,Male,192,0.5463107526584089,0.3645833333333333,0.3598026330958475,C,Random Forest
Age Band,30-45,127,0.4469306916145778,0.3418803418803419,0.2871449538116205,C,Random Forest
Age Band,46-60,99,0.4452714481048811,0.4375,0.27299887930010486,C,Random Forest
Age Band,61-75,107,0.5531291238956308,0.5957446808510638,0.3770514700747259,C,Random Forest
Age Band,76-85,45,0.4610371342397486,0.47058823529411764,0.2648615001556178,C,Random Forest
Gender,Female,186,0.4839103493394479,0.4899328859060403,0.3134553105927152,C,XGBoost
Gender,Male,192,0.5283982810349998,0.3854166666666667,0.3810538709157852,C,XGBoost
Age Band,30-45,127,0.4436950972119109,0.37606837606837606,0.22888847192252762,C,XGBoost
Age Band,46-60,99,0.45149788713634403,0.4375,0.3145227788084931,C,XGBoost
Age Band,61-75,107,0.5493033420378578,0.6170212765957447,0.40676371382922066,C,XGBoost
Age Band,76-85,45,0.4669854261357529,0.5294117647058824,0.28606701940035273,C,XGBoost
